"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5685279187817","26.3967611336032","26.5499635302699","27.7088225427709","26.1997405966278","29.1977333730987","25.6259204712813","22.5227790432802","21.5632686526373","25.3468780971259","24.2424242424242","22.664555530423","21.9069476319633","24.0518765965809","17.9173047473201","13.2741347905282","12.4735281660313","13.0954924161504","15.0317427810772","16.7934347477982","21.4177978883861","21.9809024527242","21.8428184281843","20.7606420097697","22.3008583335823","9.83119361017304","20.4990595578482",
"Africa Eastern and Southern","AFE","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.2690847943743","30.7123320423279","30.2728616805477","28.2446679828172","26.3654566956355","30.9796889833123","28.7566476910097","24.7300533645659","25.5067006598317","25.2120150946531","20.6786603949185","19.9245675278095","19.1905169885056","20.0059220586586","15.7326208337448","16.0719568832125","16.9497074961073","15.6852295384341","14.7889750646753","15.2460934565811","16.8709891564883","17.2162546096875","19.1218707515214","18.7975448907611","18.8060722460005","20.4694005209702","22.640009905015","23.4320620215297","25.074500847406","21.7023960451576","21.8548395253817","21.8723997811914","19.8700729675202","19.3715423880183","21.1131621243589","19.3912274290539","19.6406264840048","21.569905528375","19.4914070745584","19.9410689028798","19.6066674251009","20.2982668350216",
"Afghanistan","AFG","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","13.223147940714","12.9554739317149","14.634150109062","6.50888273869887","4.72223251543153","1.10374992129967","-1.58730400604692","-2.25763029775571","0.161811808370264","1.57728939485908","3.3036806980921","0.24272795357648","3.20333456172708","5.51281714217607","7.93814103751718","8.16900872102085","11.9999976869565","9.25507964507673","10.8417558712148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","73.4019430687412","70.4710641745882","59.6554529089946","46.8850263856572","38.0167872976191","35.6137093865715","33.5077833829253","29.2913025233932","36.9955534230643","36.3712960927344","33.2155348052432","28.6941667638369","23.8791545852512","29.8543081496245","29.725501829439","27.2915829092902","29.2831604648596","25.3005907067901","28.6772072833703","37.6916396387565","27.4458325376173","25.7965740163829","26.131742227173","28.1428173439468","29.699389147817","35.363016369939","22.5638894784625","27.1987930796266","21.5621417601121","23.1930687583789","24.5859828707864","29.8808365189425","21.0564994225166","22.5119746767615","17.1135220432506","15.7495423807095","17.3217274404927","19.2456230872347","19.9655871311975","24.0627741871258","27.2983617113284",
"Angola","AGO","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3177718916808","30.9353117130061","39.3615726233684","35.1925594834981","44.0744450899104","52.0181531998987","55.611338598239","53.4820782069118","54.3894024598723","37.8893275487369","47.1599011692428","47.7817418665868","46.7477412995554","40.8252092989134","37.5575953379603","30.8231706421035","30.0935220955959","29.881682707626","33.1639869013821","41.4642272287016","38.9642526438174","49.0673384532164",
"Albania","ALB","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","32.584578944595","34.3051786239152","31.016017504155","31.0652884431923","27.2889734913993","28.0357351525402","27.9660240031802","25.7099283507455","23.3742590596281","26.3622414106849","18.1319776466362","-17.099908107101","-86.912123638379","-38.4916410872679","-15.8061213998012","-5.41646310794626","-3.5910264117311","-8.37186862406587","-5.46070656466969","2.40726880886576","7.57276052027239","11.1644993601905","8.63017982158711","8.57114401140264","11.5847427527194","12.0232838367346","11.8496336230356","7.75564665136588","6.52730975796631","8.07115957536085","10.7333026793961","10.7264005585012","11.1883035179031","8.94513252442682","7.76077703441183","8.1946047812637","7.76962320005922","8.89354300952184","9.60579472130729","8.65282267424126","7.5824258416548","13.6828269046718",
"Andorra","AND","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","21.6898537191168","21.498527659196","21.1202385695689","23.9293266289725","26.0084555399113","31.3921852041405","53.1166974717831","41.9931055738578","43.0385916187443","37.3252946640128","31.9965898641176","37.987031023845","45.542285232212","39.4553682366987","27.3612173202706","20.1153188148019","18.9427436749317","16.5784056699331","10.0642464767572","11.4198379258557","12.3653624010536","9.10542402838093","23.2249518701655","15.5407826448637","19.605115784995","18.6941571735957","20.3981386294802","21.5393750137422","22.7491068874633","23.3385610948334","19.3949756013868","25.6628830100633","32.9383511522741","30.6294161614274","30.1310244322433","32.7945415650571","35.2609623996417","40.2842789764772","41.8436365497976","40.1822881401301","42.9890178597034","33.0529126786122","38.8357455663724","43.6179223375134","44.1067155711265","41.8984513372769","38.2062463814938","30.4536330252404","29.5391005704168","32.073992259341","35.5450601821749","33.285078503858","24.4893612638111","30.2264845433271",
"United Arab Emirates","ARE","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9564763897821","28.4808180510786","31.6758958047746","30.4915083857539","35.7846182754777","37.0554183957054","33.1692249553155","34.3203157720812","37.478249976568","47.7283998301564","51.6486604008811","59.2192368982968","56.2125103550871","54.0479912476207","53.7274558921516","52.8891817385342","50.1164925234747","50.4463672272139","48.5527458343857","45.3791973201199","",
"Argentina","ARG","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","20.9635208111813","29.8993071699111","20.7538604757213","17.9866261230352","24.0992491945745","24.5029683743514","22.2057744322725","23.7135673796952","22.771236922337","23.9905970209843","25.305777994677","23.5123079192046","24.251434708636","22.7969816115916","22.8738930645877","29.2862161333996","33.9832323160071","33.2311870609607","30.6931473821212","26.0379662963583","23.8360568062657","22.2402077537044","24.3244480036609","24.203123572929","22.7975016436555","23.0518378887842","19.2996865015374","19.8523077450573","21.9598062343556","21.9935620422646","19.7251979893811","16.2340150185736","15.167803750012","17.283658956359","16.8911906463642","18.089755621159","18.9745946854627","18.6116147702478","18.45186881007","16.1345234778131","16.8837968886758","16.9317413775939","25.866328843816","25.3641367935633","24.5538630826976","24.8287466175764","24.3003965721413","24.4794431962016","23.2919032639209","21.117955565887","20.6021673473589","20.0907222034274","18.4511630822258","17.206196676033","17.667044537805","15.9957828960867","16.623530348527","15.5635327564442","14.724720556382","17.4291721090617","19.3169312561868","23.2626667385239",
